"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2022","1,300.00","1,300.00","1,345.00","1,305.30","22.83K","0.00%"
"08/22/2022","1,300.00","1,300.00","1,347.00","1,300.20","13.18K","0.00%"
"08/19/2022","1,300.00","1,300.00","1,350.00","1,300.80","14.43K","0.00%"
"08/18/2022","1,300.00","1,300.00","1,350.00","1,301.70","38.40K","0.00%"
"08/17/2022","1,300.00","1,300.00","1,300.00","1,300.00","2.08M","0.00%"
"08/16/2022","1,300.00","1,300.00","1,355.00","1,321.00","3.36K","0.00%"
"08/15/2022","1,300.00","1,300.00","1,380.00","1,321.10","56.99K","0.00%"
"08/12/2022","1,300.00","1,300.00","1,360.00","1,320.00","6.55K","0.00%"
"08/11/2022","1,300.00","1,300.00","1,369.00","1,300.00","38.44K","0.00%"
"08/10/2022","1,300.00","1,300.00","1,390.00","1,201.00","68.27K","0.00%"
"08/09/2022","1,300.00","1,300.00","1,355.00","1,320.10","31.91K","0.00%"
"08/08/2022","1,300.00","1,300.00","1,349.90","1,310.40","26.49K","0.00%"
"08/05/2022","1,300.00","1,300.00","1,345.00","1,300.60","33.18K","0.00%"
"08/04/2022","1,300.00","1,300.00","1,355.00","1,300.10","48.80K","0.00%"
"08/03/2022","1,300.00","1,300.00","1,354.90","1,282.00","33.27K","0.00%"
"08/02/2022","1,300.00","1,262.30","1,300.00","1,300.00","575.99K","2.99%"
"08/01/2022","1,262.30","1,262.30","1,299.90","1,250.00","13.37K","0.00%"
"07/29/2022","1,262.30","1,262.30","1,262.30","1,150.00","74.62K","0.00%"
"07/28/2022","1,262.30","1,400.00","1,262.30","1,262.30","105.91K","-9.84%"
"07/27/2022","1,400.00","1,400.00","1,305.00","1,270.00","22.88K","0.00%"
"07/26/2022","1,400.00","1,400.00","1,325.00","1,273.00","18.00K","0.00%"
"07/25/2022","1,400.00","1,400.00","1,333.50","1,300.00","61.66K","0.00%"
"07/22/2022","1,400.00","1,400.00","1,345.00","1,301.20","4.41K","0.00%"
"07/21/2022","1,400.00","1,400.00","1,369.00","1,302.00","33.35K","0.00%"
"07/20/2022","1,400.00","1,400.00","1,389.90","1,312.10","14.66K","0.00%"
"07/19/2022","1,400.00","1,400.00","1,399.80","1,311.10","36.72K","0.00%"
"07/18/2022","1,400.00","1,400.00","1,373.40","1,301.30","4.66K","0.00%"
"07/15/2022","1,400.00","1,400.00","1,380.00","1,302.10","8.91K","0.00%"
"07/14/2022","1,400.00","1,400.00","1,399.50","1,301.20","5.12K","0.00%"
"07/13/2022","1,400.00","1,400.00","1,399.90","1,375.90","34.06K","0.00%"
"07/08/2022","1,400.00","1,400.00","1,399.80","1,378.00","4.81K","0.00%"
