"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2022","12.00","11.85","12.00","11.75","7.56M","1.27%"
"01/07/2022","11.85","11.50","11.85","11.35","3.71M","3.04%"
"01/06/2022","11.50","11.30","11.50","11.30","27.09M","1.77%"
"01/05/2022","11.30","11.30","11.30","11.10","10.43M","0.00%"
"01/04/2022","11.30","11.40","11.40","11.00","5.45M","-0.88%"
"12/31/2021","11.40","11.50","11.50","11.20","77.93M","-0.87%"
"12/30/2021","11.50","11.50","11.50","11.05","13.23M","0.00%"
"12/29/2021","11.50","11.50","11.50","11.00","8.68M","0.00%"
"12/24/2021","11.50","11.70","11.60","11.45","4.46M","-1.71%"
"12/23/2021","11.70","12.00","11.70","11.65","1.52M","-2.50%"
"12/22/2021","12.00","12.20","12.20","12.00","5.21M","-1.64%"
"12/21/2021","12.20","12.20","12.20","12.20","68.56M","0.00%"
"12/20/2021","12.20","12.05","12.20","11.95","20.19M","1.24%"
"12/17/2021","12.05","12.00","12.30","12.00","32.43M","0.42%"
"12/16/2021","12.00","12.10","12.20","11.95","79.14M","-0.83%"
"12/15/2021","12.10","12.00","12.15","12.00","32.53M","0.83%"
"12/14/2021","12.00","11.90","12.05","11.70","21.10M","0.84%"
"12/13/2021","11.90","11.90","11.90","11.65","19.89M","0.00%"
"12/10/2021","11.90","11.60","11.90","11.60","35.35M","2.59%"
"12/09/2021","11.60","11.40","11.60","11.35","228.53M","1.75%"
"12/08/2021","11.40","11.50","11.50","11.20","441.93M","-0.87%"
"12/07/2021","11.50","11.70","11.65","11.15","364.03M","-1.71%"
"12/06/2021","11.70","11.80","11.80","11.50","128.87M","-0.85%"
"12/03/2021","11.80","12.05","11.90","11.70","6.41M","-2.07%"
"12/02/2021","12.05","12.00","12.05","11.65","113.36M","0.42%"
"12/01/2021","12.00","11.95","12.05","11.55","134.00M","0.42%"
"11/30/2021","11.95","11.90","11.95","11.55","16.89M","0.42%"
"11/29/2021","11.90","12.00","11.90","11.70","1.31M","-0.83%"
"11/26/2021","12.00","12.00","12.05","11.95","8.66M","0.00%"
"11/25/2021","12.00","12.00","12.05","11.95","13.80M","0.00%"
"11/24/2021","12.00","12.30","12.10","12.00","4.68M","-2.44%"
"11/23/2021","12.30","12.30","12.30","12.10","31.54M","0.00%"
"11/22/2021","12.30","11.55","12.50","11.75","88.66M","6.49%"
"11/19/2021","11.55","11.50","11.55","11.30","18.41M","0.43%"
"11/18/2021","11.50","12.30","12.05","11.50","5.40M","-6.50%"
"11/17/2021","12.30","12.50","12.60","12.10","68.61M","-1.60%"
"11/16/2021","12.50","12.30","12.50","12.10","223.58M","1.63%"
"11/15/2021","12.30","12.00","12.50","12.00","101.22M","2.50%"
"11/12/2021","12.00","11.50","12.10","11.25","129.77M","4.35%"
"11/11/2021","11.50","11.45","11.50","11.20","28.16M","0.44%"
"11/10/2021","11.45","11.35","11.45","11.10","21.49M","0.88%"
"11/09/2021","11.35","11.35","11.40","11.20","9.01M","0.00%"
"11/08/2021","11.35","11.10","11.35","11.10","42.24M","2.25%"
"11/05/2021","11.10","10.75","11.10","10.85","52.60M","3.26%"
"11/04/2021","10.75","10.60","10.80","10.55","19.52M","1.42%"
"11/03/2021","10.60","10.00","10.90","10.00","58.61M","6.00%"
"11/02/2021","10.00","10.75","10.70","10.00","30.50M","-6.98%"
"11/01/2021","10.75","11.05","11.45","10.70","27.55M","-2.71%"
"10/29/2021","11.05","11.65","11.55","11.05","56.98M","-5.15%"
"10/28/2021","11.65","11.65","11.75","11.25","162.61M","0.00%"
"10/27/2021","11.65","12.40","12.05","11.60","75.46M","-6.05%"
"10/26/2021","12.40","12.55","12.60","12.20","73.06M","-1.20%"
"10/25/2021","12.55","12.25","12.90","12.10","350.54M","2.45%"
"10/22/2021","12.25","12.10","12.85","11.80","154.40M","1.24%"
"10/21/2021","12.10","12.20","12.45","11.80","51.92M","-0.82%"
"10/20/2021","12.20","11.60","12.50","10.85","147.60M","3.83%"
"10/18/2021","11.75","12.70","12.70","11.70","67.61M","-7.48%"
"10/15/2021","12.70","11.80","12.90","11.50","476.55M","8.09%"
"10/14/2021","11.75","10.85","12.00","10.85","602.77M","7.31%"
"10/13/2021","10.95","10.65","11.70","10.70","148.35M","2.82%"
"10/12/2021","10.65","9.70","10.65","9.55","317.28M","9.79%"
"10/11/2021","9.70","9.80","9.90","9.50","24.15M","-1.02%"
"10/08/2021","9.80","10.00","10.05","9.75","154.68M","-2.00%"
"10/07/2021","10.00","9.50","10.65","9.50","132.01M","3.09%"
"10/06/2021","9.70","9.90","9.90","9.20","108.74M","7.78%"
"10/05/2021","9.00","8.20","9.00","8.20","46.31M","9.76%"
"10/04/2021","8.20","8.05","8.20","8.10","18.15M","1.86%"
"09/30/2021","8.05","8.05","8.05","7.95","53.76M","0.00%"
"09/29/2021","8.05","7.55","8.15","7.65","264.69M","6.62%"
"09/28/2021","7.55","7.50","7.55","7.50","1.86M","0.67%"
"09/27/2021","7.50","7.50","7.55","7.50","5.04M","0.00%"
"09/24/2021","7.50","7.50","7.50","7.45","481.51M","0.00%"
"09/23/2021","7.50","7.50","7.55","7.50","3.22M","0.00%"
"09/22/2021","7.50","7.50","7.50","7.50","2.98M","0.00%"
"09/21/2021","7.50","7.50","7.50","7.45","3.61M","0.00%"
"09/20/2021","7.50","7.50","7.50","7.45","5.01M","0.00%"
"09/17/2021","7.50","7.50","7.50","7.45","7.41M","0.00%"
"09/16/2021","7.50","7.60","7.60","7.50","2.27M","-1.32%"
"09/15/2021","7.60","7.50","7.60","7.45","3.61M","1.33%"
"09/14/2021","7.50","7.50","7.50","7.45","3.99M","0.00%"
"09/13/2021","7.50","7.55","7.55","7.45","16.68M","-0.66%"
"09/10/2021","7.55","7.50","7.60","7.50","6.35M","0.67%"
"09/09/2021","7.50","7.45","7.60","7.45","97.73M","0.67%"
"09/08/2021","7.45","7.45","7.50","7.45","86.01M","0.00%"
"09/07/2021","7.45","7.50","7.50","7.40","92.29M","-0.67%"
"09/06/2021","7.50","7.50","7.50","7.50","6.81M","0.00%"
"09/03/2021","7.50","7.50","7.50","7.35","11.77M","0.00%"
"09/02/2021","7.50","7.45","7.50","7.40","3.58M","0.67%"
"09/01/2021","7.45","7.50","7.45","7.45","1.74M","-0.67%"
"08/31/2021","7.50","7.50","7.50","7.40","11.95M","0.00%"
"08/30/2021","7.50","7.50","7.50","7.35","7.84M","0.00%"
"08/27/2021","7.50","7.50","7.50","7.50","2.18M","0.00%"
"08/26/2021","7.50","7.40","7.50","7.40","4.12M","1.35%"
"08/25/2021","7.40","7.45","7.45","7.40","3.11M","-0.67%"
"08/24/2021","7.45","7.40","7.50","7.40","10.84M","0.68%"
"08/23/2021","7.40","7.40","7.40","7.40","2.29M","0.00%"
"08/20/2021","7.40","7.40","7.40","7.30","5.27M","0.00%"
"08/19/2021","7.40","7.35","7.40","7.30","8.83M","0.68%"
"08/18/2021","7.35","7.40","7.35","7.35","4.66M","-0.68%"
"08/17/2021","7.40","7.35","7.40","7.35","11.06M","0.68%"
"08/16/2021","7.35","7.30","7.35","7.25","6.26M","0.68%"
"08/13/2021","7.30","7.25","7.30","7.20","10.88M","0.69%"
"08/12/2021","7.25","7.30","7.25","7.20","8.23M","-0.68%"
"08/11/2021","7.30","7.30","7.30","7.25","2.51M","0.00%"
"08/10/2021","7.30","7.30","7.30","7.25","10.30M","0.00%"
"08/09/2021","7.30","7.30","7.35","7.25","2.09M","0.00%"
"08/06/2021","7.30","7.30","7.35","7.25","27.28M","0.00%"
"08/05/2021","7.30","7.35","7.35","7.30","6.29M","-0.68%"
"08/04/2021","7.35","7.40","7.40","7.35","3.31M","-0.68%"
"08/03/2021","7.40","7.50","7.40","7.40","5.79M","-1.33%"
"08/02/2021","7.50","7.40","7.50","7.40","6.94M","1.35%"
