"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2025","47.50","48.70","47.50","47.50","1.33M","-2.46%"
"05/09/2025","48.70","49.90","49.00","48.70","3.51M","-2.40%"
"05/08/2025","49.90","52.90","51.50","49.50","4.92M","-5.67%"
"05/07/2025","52.90","51.10","55.40","51.45","30.51M","3.52%"
"05/06/2025","51.10","49.90","52.00","49.70","7.98M","2.40%"
"05/05/2025","49.90","46.00","49.90","48.30","13.47M","8.48%"
"05/02/2025","46.00","43.00","46.00","43.05","7.13M","6.98%"
"04/30/2025","43.00","42.90","43.00","42.80","3.69M","0.23%"
"04/29/2025","42.90","40.50","42.90","40.70","6.38M","5.93%"
"04/28/2025","40.50","39.00","42.40","39.50","28.34M","3.85%"
"04/25/2025","39.00","38.00","39.50","37.15","19.84M","2.63%"
"04/24/2025","38.00","39.80","39.00","38.00","1.75M","-4.52%"
"04/23/2025","39.80","43.40","43.50","39.80","14.17M","0.00%"
"04/22/2025","39.80","39.80","39.80","39.70","11.90M","9.94%"
"04/17/2025","36.20","32.95","36.20","35.00","15.42M","9.86%"
"04/16/2025","32.95","32.10","32.95","32.00","10.65M","2.65%"
"04/15/2025","32.10","32.00","32.10","31.95","1.79M","0.31%"
"04/14/2025","32.00","32.00","32.00","32.00","404.59K","0.00%"
"04/11/2025","32.00","32.00","32.00","32.00","420.34K","0.00%"
"04/10/2025","32.00","32.00","32.00","32.00","977.80K","0.00%"
"04/09/2025","32.00","32.00","32.00","32.00","447.84K","0.00%"
"04/08/2025","32.00","32.00","32.00","32.00","952.64K","0.00%"
"04/07/2025","32.00","34.00","32.00","32.00","963.94K","-5.88%"
"04/04/2025","34.00","34.00","34.00","34.00","543.41K","0.00%"
"04/03/2025","34.00","34.30","34.00","34.00","664.83K","-0.87%"
"04/02/2025","34.30","34.10","34.30","34.10","35.61M","0.59%"
"03/28/2025","34.10","33.60","34.10","34.05","1.82M","1.49%"
"03/27/2025","33.60","33.55","34.00","33.60","9.84M","0.15%"
"03/26/2025","33.55","33.20","33.55","33.55","1.87M","1.05%"
"03/25/2025","33.20","33.40","33.20","33.20","1.63M","-0.60%"
"03/24/2025","33.40","33.15","33.40","33.10","8.80M","0.75%"
"03/21/2025","33.15","33.15","33.20","33.15","3.14M","0.00%"
"03/20/2025","33.15","32.50","33.15","32.50","27.01M","2.00%"
"03/19/2025","32.50","32.00","32.50","32.00","16.35M","1.56%"
"03/18/2025","32.00","32.00","32.50","32.00","6.79M","0.00%"
"03/17/2025","32.00","32.00","32.00","32.00","761.18K","0.00%"
"03/14/2025","32.00","32.00","32.00","32.00","669.35K","0.00%"
"03/13/2025","32.00","31.00","32.00","32.00","2.45M","3.23%"
"03/12/2025","31.00","31.10","31.00","31.00","14.05M","-0.32%"
"03/11/2025","31.10","31.80","31.50","31.10","1.28M","-2.20%"
"03/10/2025","31.80","32.00","32.00","31.80","1.55M","-0.63%"
"03/07/2025","32.00","31.70","32.00","32.00","1.47M","0.95%"
"03/06/2025","31.70","32.10","32.15","31.70","1.61M","-1.25%"
"03/05/2025","32.10","34.00","32.10","32.10","1.22M","-5.59%"
"03/04/2025","34.00","34.00","34.00","34.00","498.21K","0.00%"
"03/03/2025","34.00","34.80","34.00","34.00","962.27K","-2.30%"
"02/28/2025","34.80","35.00","34.80","34.80","1.23M","-0.57%"
"02/27/2025","35.00","35.05","35.00","35.00","3.40M","-0.14%"
"02/26/2025","35.05","33.65","35.05","34.00","1.66M","4.16%"
"02/25/2025","33.65","33.65","33.65","33.65","611.58K","0.00%"
"02/24/2025","33.65","34.00","33.65","33.65","1.03M","-1.03%"
"02/21/2025","34.00","34.00","34.00","34.00","1.55M","0.00%"
"02/20/2025","34.00","35.00","34.00","34.00","1.92M","-2.86%"
"02/19/2025","35.00","35.80","35.50","34.85","2.97M","-2.23%"
"02/18/2025","35.80","36.30","35.80","35.80","3.19M","-1.38%"
"02/17/2025","36.30","33.00","36.30","33.80","11.38M","10.00%"
"02/14/2025","33.00","33.95","33.00","33.00","1.82M","-2.80%"
"02/13/2025","33.95","33.95","33.95","33.95","550.65K","0.00%"
"02/12/2025","33.95","32.30","33.95","32.65","2.49M","5.11%"
"02/11/2025","32.30","34.00","32.30","32.30","1.51M","-5.00%"
"02/10/2025","34.00","34.00","34.00","34.00","234.58K","0.00%"
"02/07/2025","34.00","34.00","34.00","33.90","1.61M","0.00%"
"02/06/2025","34.00","34.05","34.90","34.00","4.24M","-0.15%"
"02/05/2025","34.05","34.50","34.05","34.00","3.17M","-1.30%"
"02/04/2025","34.50","34.50","34.50","32.40","7.50M","0.00%"
"02/03/2025","34.50","35.80","35.80","34.50","9.14M","-3.63%"
"01/31/2025","35.80","34.50","35.80","34.25","17.16M","3.77%"
"01/30/2025","34.50","34.00","34.50","34.50","4.99M","1.47%"
"01/29/2025","34.00","32.00","35.10","33.00","7.98M","6.25%"
"01/28/2025","32.00","32.00","32.00","32.00","23.35M","0.00%"
"01/27/2025","32.00","31.00","32.00","31.70","7.71M","3.23%"
"01/24/2025","31.00","31.00","31.05","31.00","42.10M","0.00%"
"01/23/2025","31.00","31.00","31.00","31.00","626.76K","0.00%"
"01/22/2025","31.00","31.35","31.00","31.00","611.09K","-1.12%"
"01/21/2025","31.35","31.90","31.35","31.35","941.50K","-1.72%"
"01/20/2025","31.90","31.90","31.90","31.90","541.19K","0.00%"
"01/17/2025","31.90","31.05","31.90","31.90","451.22K","2.74%"
"01/16/2025","31.05","32.00","31.10","31.05","1.17M","-2.97%"
"01/15/2025","32.00","32.00","32.05","32.00","16.19M","0.00%"
"01/14/2025","32.00","32.00","32.00","31.00","32.20M","0.00%"
"01/13/2025","32.00","32.00","32.00","31.90","5.31M","0.00%"
"01/10/2025","32.00","32.20","32.05","32.00","27.29M","-0.62%"
"01/09/2025","32.20","32.20","32.20","32.20","395.70K","0.00%"
"01/08/2025","32.20","32.00","32.20","32.00","918.12K","0.63%"
"01/07/2025","32.00","32.15","32.20","32.00","3.70M","-0.47%"
"01/06/2025","32.15","32.15","32.15","32.15","2.93M","0.00%"
"01/03/2025","32.15","32.00","32.15","32.00","7.22M","0.47%"
"01/02/2025","32.00","32.00","32.00","32.00","2.02M","0.00%"
"12/31/2024","32.00","32.15","32.00","31.60","1.64M","-0.47%"
"12/30/2024","32.15","32.50","32.15","32.00","2.59M","-1.08%"
"12/27/2024","32.50","32.50","32.50","32.50","8.63M","0.00%"
"12/24/2024","32.50","31.00","32.50","32.00","3.59M","4.84%"
"12/23/2024","31.00","29.00","31.00","31.00","1.74M","6.90%"
"12/20/2024","29.00","30.00","29.00","29.00","2.14M","-3.33%"
"12/19/2024","30.00","28.00","30.00","30.00","9.52M","7.14%"
"12/18/2024","28.00","28.00","28.00","28.00","1.77M","0.00%"
"12/17/2024","28.00","28.00","28.00","28.00","363.63K","0.00%"
"12/16/2024","28.00","27.50","28.00","28.00","602.17K","1.82%"
"12/13/2024","27.50","27.50","27.50","27.50","861.21K","0.00%"
"12/12/2024","27.50","27.50","27.50","27.50","497.21K","0.00%"
"12/11/2024","27.50","27.15","27.50","27.50","2.34M","1.29%"
"12/10/2024","27.15","27.15","27.15","27.15","2.01M","0.00%"
"12/09/2024","27.15","27.30","27.15","27.15","610.46K","-0.55%"
"12/06/2024","27.30","28.10","27.30","27.30","433.72K","-2.85%"
"12/05/2024","28.10","28.10","28.10","28.10","367.35K","0.00%"
"12/04/2024","28.10","28.10","28.10","28.10","722.50K","0.00%"
"12/03/2024","28.10","28.10","28.10","28.10","307.42K","0.00%"
"12/02/2024","28.10","27.00","28.10","28.10","10.74M","4.07%"
"11/29/2024","27.00","27.00","27.00","27.00","104.35K","0.00%"
"11/28/2024","27.00","27.00","27.00","27.00","303.08K","0.00%"
"11/27/2024","27.00","28.50","28.50","27.00","1.41M","-5.26%"
"11/26/2024","28.50","28.50","28.50","28.50","116.85K","0.00%"
"11/25/2024","28.50","28.50","28.50","28.50","558.82K","0.00%"
"11/22/2024","28.50","28.00","28.85","28.50","1.52M","1.79%"
"11/21/2024","28.00","28.00","28.00","28.00","204.11K","0.00%"
"11/20/2024","28.00","27.00","28.00","28.00","1.66M","3.70%"
"11/19/2024","27.00","27.00","27.00","27.00","760.29K","0.00%"
"11/18/2024","27.00","27.00","27.00","27.00","195.29K","0.00%"
"11/15/2024","27.00","27.00","27.00","27.00","1.17M","0.00%"
"11/14/2024","27.00","27.00","27.00","27.00","291.40K","0.00%"
"11/13/2024","27.00","27.00","27.00","27.00","866.40K","0.00%"
"11/12/2024","27.00","27.00","27.00","27.00","219.62K","0.00%"
"11/11/2024","27.00","27.00","27.35","27.00","1.52M","0.00%"
"11/08/2024","27.00","27.00","27.00","27.00","433.13K","0.00%"
"11/07/2024","27.00","27.00","27.00","27.00","217.20K","0.00%"
"11/06/2024","27.00","27.00","27.00","27.00","1.25M","0.00%"
"11/05/2024","27.00","28.00","27.00","27.00","22.39M","-3.57%"
"11/04/2024","28.00","28.00","28.00","28.00","248.73K","0.00%"
"11/01/2024","28.00","28.00","28.00","28.00","461.62K","0.00%"
"10/31/2024","28.00","28.00","28.00","28.00","215.40K","0.00%"
"10/30/2024","28.00","28.00","28.00","28.00","687.96K","0.00%"
"10/29/2024","28.00","28.00","28.00","28.00","1.61M","0.00%"
"10/28/2024","28.00","28.00","28.00","28.00","720.60K","0.00%"
"10/25/2024","28.00","28.00","28.00","28.00","1.46M","0.00%"
"10/24/2024","28.00","28.00","28.00","27.75","1.25M","0.00%"
"10/23/2024","28.00","28.00","28.05","28.00","37.37M","0.00%"
"10/22/2024","28.00","28.00","28.00","28.00","8.17M","0.00%"
"10/21/2024","28.00","28.00","28.00","28.00","23.39M","0.00%"
"10/18/2024","28.00","29.00","28.00","28.00","1.17M","-3.45%"
"10/17/2024","29.00","29.00","29.00","29.00","208.38K","0.00%"
"10/16/2024","29.00","29.00","29.00","29.00","193.65K","0.00%"
"10/15/2024","29.00","29.00","29.00","29.00","530.39K","0.00%"
"10/14/2024","29.00","29.00","29.00","29.00","282.52K","0.00%"
"10/11/2024","29.00","28.85","29.00","29.00","592.94K","0.52%"
"10/10/2024","28.85","30.00","28.85","28.85","382.49K","-3.83%"
"10/09/2024","30.00","28.50","30.00","29.00","14.56M","5.26%"
"10/08/2024","28.50","30.00","28.50","28.50","760.72K","-5.00%"
"10/07/2024","30.00","30.00","30.10","30.00","12.17M","0.00%"
"10/04/2024","30.00","30.00","30.00","29.05","7.03M","0.00%"
"10/03/2024","30.00","29.20","30.00","30.00","1.88M","2.74%"
"10/02/2024","29.20","29.20","29.20","29.10","3.57M","0.00%"
"09/30/2024","29.20","29.20","29.20","29.20","888.48K","0.00%"
"09/27/2024","29.20","29.00","29.20","29.20","576.95K","0.69%"
"09/26/2024","29.00","28.70","29.20","28.90","11.53M","1.05%"
"09/25/2024","28.70","28.80","28.70","28.70","1.05M","-0.35%"
"09/24/2024","28.80","28.30","28.80","28.00","2.20M","1.77%"
"09/23/2024","28.30","28.00","28.30","28.20","1.21M","1.07%"
"09/20/2024","28.00","28.00","28.00","28.00","206.76K","0.00%"
"09/19/2024","28.00","28.00","28.00","28.00","1.31M","0.00%"
"09/18/2024","28.00","28.00","28.00","28.00","629.45K","0.00%"
"09/17/2024","28.00","28.00","28.00","28.00","255.22K","0.00%"
"09/13/2024","28.00","27.00","28.00","27.90","13.35M","3.70%"
"09/12/2024","27.00","27.00","27.00","27.00","427.09K","0.00%"
"09/11/2024","27.00","27.00","27.00","27.00","228.09K","0.00%"
"09/10/2024","27.00","27.00","27.50","27.00","1.27M","0.00%"
"09/09/2024","27.00","27.00","27.00","27.00","714.09K","0.00%"
"09/06/2024","27.00","26.00","27.00","27.00","623.35K","3.85%"
"09/05/2024","26.00","27.00","26.00","26.00","444.13K","-3.70%"
"09/04/2024","27.00","27.00","27.00","27.00","638.17K","0.00%"
