Date,Price,Open,High,Low,Vol.,Change %
12/9/2022,262.3,262.3,262.3,262.3,4.15K,0.00%
12/8/2022,262.3,262.3,262.3,262.3,34.57K,0.00%
12/7/2022,262.3,262.3,262.3,262.3,14.94K,0.00%
12/6/2022,262.3,262.3,262.3,262.3,359.79K,0.00%
12/5/2022,262.3,262.3,262.3,262.3,17.63K,0.00%
12/2/2022,262.3,262.3,262.3,262.3,9.63K,0.00%
12/1/2022,262.3,262.3,262.3,262.3,16.35K,0.00%
11/30/2022,262.3,262.3,262.3,262.3,30.55K,0.00%
11/29/2022,262.3,262.3,262.3,262.3,119.38K,0.00%
11/28/2022,262.3,262.3,262.3,262.3,12.28K,0.00%
11/25/2022,262.3,262.3,262.3,262.3,45.48K,0.00%
11/24/2022,262.3,262.3,262.3,262.3,389.53K,0.00%
11/23/2022,262.3,238.5,262.3,254.5,820.19K,9.98%
11/22/2022,238.5,238.5,238.5,238.5,402.72K,0.00%
11/21/2022,238.5,238.5,238.5,238.5,444.44K,0.00%
11/18/2022,238.5,238.5,238.5,238.5,7.48K,0.00%
11/17/2022,238.5,238.5,238.5,238.5,38.24K,0.00%
11/16/2022,238.5,238.5,238.5,238.5,110.74K,0.00%
11/15/2022,238.5,238.5,238.5,238.5,8.05K,0.00%
11/14/2022,238.5,238.5,238.5,238.5,110.97K,0.00%
11/11/2022,238.5,238.5,238.5,238.5,8.18K,0.00%
11/10/2022,238.5,221.3,238.5,238.5,557.72K,7.77%
11/9/2022,221.3,220,240,221.3,1.39M,0.59%
11/8/2022,220,240,220,220,294.41K,-8.33%
11/7/2022,240,240,240,240,9.51K,0.00%
11/4/2022,240,240,240,240,22.94K,0.00%
11/3/2022,240,240,240,240,35.34K,0.00%
11/2/2022,240,220.5,240,240,529.40K,8.84%
11/1/2022,220.5,220.5,220.5,220.5,75.06K,0.00%
10/31/2022,220.5,220.5,220.5,220.5,172.54K,0.00%
10/28/2022,220.5,245,220.5,220.5,2.47M,-10.00%
10/27/2022,245,245,245,245,6.86K,0.00%
10/26/2022,245,245,245,245,2.81K,0.00%
10/25/2022,245,245,245,245,8.36K,0.00%
10/24/2022,245,245,245,245,9.68K,0.00%
10/21/2022,245,245,245,245,4.19K,0.00%
10/20/2022,245,245,245,245,3.96K,0.00%
10/19/2022,245,245,245,245,117.18K,0.00%
10/18/2022,245,245,245,245,10.16K,0.00%
10/17/2022,245,245,245,245,16.34K,0.00%
10/14/2022,245,245,245,245,5.19K,0.00%
10/13/2022,245,245,245,245,21.40K,0.00%
10/12/2022,245,245,245,245,8.43M,0.00%
10/11/2022,245,245,245,245,21.09K,0.00%
10/7/2022,245,245,245,245,14.00K,0.00%
10/6/2022,245,245,245,245,170.68K,0.00%
10/5/2022,245,245,245,245,82.64K,0.00%
10/4/2022,245,245,245,245,13.08K,0.00%
9/30/2022,245,245,245,245,19.30K,0.00%
9/29/2022,245,245,245,245,23.73K,0.00%
9/28/2022,245,245,245,245,38.78K,0.00%
9/27/2022,245,245,245,245,57.13K,0.00%
9/26/2022,245,245,245,245,11.80K,0.00%
9/23/2022,245,245,245,245,2.11K,0.00%
9/22/2022,245,245,245,245,13.42K,0.00%
9/21/2022,245,245,245,245,16.52K,0.00%
9/20/2022,245,245,245,245,12.66K,0.00%
9/19/2022,245,245,245,245,29.95K,0.00%
9/16/2022,245,245,245,245,22.83K,0.00%
9/15/2022,245,245,245,245,27.58K,0.00%
9/14/2022,245,245,245,245,270.35K,0.00%
9/13/2022,245,245,245,245,23.59K,0.00%
9/12/2022,245,245,245,245,7.10K,0.00%
9/9/2022,245,245,245,245,16.30K,0.00%
9/8/2022,245,245,245,245,65.24K,0.00%
9/7/2022,245,245,245,245,212.05K,0.00%
9/6/2022,245,245,245,245,524.35K,0.00%
9/5/2022,245,245,245,245,102.19K,0.00%
9/2/2022,245,245,245,245,10.65K,0.00%
9/1/2022,245,245,245,245,92.93K,0.00%
8/31/2022,245,245,245,245,27.41K,0.00%
8/30/2022,245,245,245,245,603.31K,0.00%
8/29/2022,245,245,245,245,231.02K,0.00%
8/26/2022,245,245,245,245,39.94K,0.00%
8/25/2022,245,245,245,245,531.39K,0.00%
8/24/2022,245,245,245,245,41.06K,0.00%
8/23/2022,245,258.8,245,245,2.72M,-5.33%
8/22/2022,258.8,258.8,258.8,258.8,413.41K,0.00%
8/19/2022,258.8,258.8,258.8,258.8,14.71K,0.00%
8/18/2022,258.8,258.8,258.8,258.8,470.91K,0.00%
8/17/2022,258.8,258.8,258.8,258.8,126.68K,0.00%
8/16/2022,258.8,258.8,258.8,258.8,12.10K,0.00%
8/15/2022,258.8,258.8,258.8,258.8,19.27K,0.00%
8/12/2022,258.8,265,258.8,258.8,350.53K,-2.34%
8/11/2022,265,265,265,265,30.64K,0.00%
8/10/2022,265,241,265,260,961.58K,9.96%
8/9/2022,241,265,241,241,327.60K,-9.06%
8/8/2022,265,265,265,265,57.19K,0.00%
8/5/2022,265,265,265,265,21.50K,0.00%
8/4/2022,265,265,265,265,168.03K,0.00%
8/3/2022,265,265,265,265,26.24K,0.00%
8/2/2022,265,265,265,265,199.98K,0.00%
8/1/2022,265,265,265,265,28.20K,0.00%
7/29/2022,265,265,265,265,45.11K,0.00%
7/28/2022,265,265,265,265,80.18K,0.00%
7/27/2022,265,265,265,265,873.86K,0.00%
7/26/2022,265,265,265,265,78.47K,0.00%
7/25/2022,265,265,265,265,92.58K,0.00%
7/22/2022,265,265,265,265,117.63K,0.00%
7/21/2022,265,265,265,265,82.01K,0.00%
7/20/2022,265,265,265,265,325.42K,0.00%
7/19/2022,265,265,265,265,168.85K,0.00%
7/18/2022,265,265,265,265,250.27K,0.00%
7/15/2022,265,275,265,265,2.65M,-3.64%
7/14/2022,275,275,275,275,133.53K,0.00%
7/13/2022,275,275,275,275,151.63K,0.00%
7/8/2022,275,275,275,275,232.91K,0.00%
