Stock,Model,MSE,RMSE,MAE,MAPE,R2,Directional_Accuracy,QLIKE,MZ_Alpha,MZ_Beta
AIRTEL,Random Forest,0.0012002272809590194,0.034644296514130854,0.02652994025228997,34.502535011186666,0.414761820950976,11.11111111111111,-3.1441036543418046,-0.17104737660643074,1.9600420527493514
AIRTEL,XGBoost,0.003693335014315393,0.06077281476380202,0.046348850113993784,60.38849837983715,-0.800892791462672,11.11111111111111,-2.9640419518882655,-0.8006438274004151,5.427878884116969
AIRTEL,Ridge,0.00019973220029480357,0.0141326643027705,0.011602189193281978,12.62752719531936,0.9026093548676996,11.11111111111111,-3.224856065695467,0.009678232513600185,0.9073923880931475
AIRTEL,SVR,0.013831862686554657,0.1176089396540699,0.09369318483306502,116.07590948820442,-5.744501029061163,0.0,-2.622001228867078,0.22667802016378494,-0.5149831529155432
INTERBREW,Random Forest,0.0007976912585462764,0.028243428590492982,0.022587223466221572,5.601344607820134,0.5549782641262461,66.66666666666666,-0.7002758135900004,-0.5312467373307858,2.203317161921234
INTERBREW,XGBoost,0.002130715678166162,0.046159675888876886,0.03992130663433803,9.891130785089222,-0.18869898546834785,77.77777777777779,-0.6867111082372153,0.8548817999297142,-0.97122157449515
INTERBREW,Ridge,0.0005155511252685175,0.02270575092941252,0.020488368715764132,4.730968949181265,0.7123806306756051,55.55555555555556,-0.7034237035813637,-0.020459085905394785,1.0953917141430705
INTERBREW,SVR,0.00974520386471564,0.09871779912819997,0.09158777596030065,22.43728872335812,-4.436724414183583,55.55555555555556,-0.6295836694907566,-0.1382209991540197,1.089826816135862
FIRSTHOLDCO,Random Forest,0.009139045055465131,0.09559835278635888,0.08221697592073521,20.348931881978633,0.7638820659087506,61.73913043478261,-0.5413523610185164,-0.033011671963721505,0.9143700810754858
FIRSTHOLDCO,XGBoost,0.002156218703948918,0.04643510206674384,0.03452479616866048,9.702884805245617,0.9442915640818648,61.73913043478261,-0.5862399674530239,-0.013812779032140603,0.9813291425786876
FIRSTHOLDCO,Ridge,0.0019043928421378033,0.04363934969884179,0.032070849124182545,8.357330033022587,0.9507977801997108,63.47826086956522,-0.5890863545184012,0.007566241377767731,0.9510232639758703
FIRSTHOLDCO,SVR,0.0354815586318036,0.1883654921470586,0.1597503739787293,52.136448094206635,0.08329237117951682,53.04347826086957,-0.33366532562754664,-0.5256062943653725,1.6128520067084824
ETI,Random Forest,0.002300944086100375,0.04796815700128967,0.03815429654547999,7.203558208182506,0.8463718112536625,66.66666666666666,-0.3404295511581304,-0.09697268998215505,1.2055240965187937
ETI,XGBoost,0.001620955574485581,0.040261092564479434,0.0342822905349955,7.538019907139717,0.8917729159735716,77.77777777777779,-0.34059525762154574,-0.16338831340329324,1.2933598816326697
